generador,n,media,media_teorica,error_relativo_pct,prueba,estadistico,p_valor,tiempo_seg
LCG(a=1664525, c=1013904223, m=4294967296),20000,0.5022349150313065,0.5,0.4469830062612923,KS,0.005894427522271872,0.4887362349218256,0.020670400001108646
Exponencial(2),20000,0.5067089672391741,0.5,1.341793447834827,KS,0.008991151868924518,0.07835059038635694,0.015383900026790798
Weibull(2, 1.5),20000,1.326796396307308,1.329340388179137,0.19137249529548317,KS,0.004592511756718154,0.7910009241903448,0.016523799975402653
Gamma(2.5, 1.2),20000,2.9990073851142967,3.0,0.03308716285677822,KS,0.0058568729745564485,0.49703345279350974,0.05620200000703335
Poisson(8) via poisson_inversa,20000,7.9704,8.0,0.37000000000000366,chi2,13.81665369748337,0.839668975799331,0.03045720001682639
Poisson(8) via poisson_knuth,20000,8.02175,8.0,0.2718750000000103,chi2,16.052460523649437,0.7133643998743403,0.07395099999848753
Binomial(10, 0.65),20000,6.4971,6.5,0.044615384615389955,chi2,9.645985676354377,0.379897157241769,0.11013669997919351
BinNeg(mu=8, forma=3),20000,8.03995,8.0,0.4993749999999908,chi2,43.25639609986697,0.15944125567273465,0.0844741000328213
Adelgazamiento: Poisson(8) filtrada con p=0.65,20000,5.1879,5.2,0.23269230769231197,chi2,19.119627986800403,0.20836403283805147,0.11609079991467297
